City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Ennis,IE,52.84,-8.99,59.0,54,40,13.87,scattered clouds
303,Lamut,PH,16.65,121.22,74.82,80,100,1.34,overcast clouds
304,Portland,US,45.52,-122.68,70.0,67,75,8.05,broken clouds
305,Hamilton,US,39.18,-84.53,87.01,65,75,6.93,broken clouds
306,Sioux Lookout,CA,50.1,-91.92,57.2,67,75,10.29,broken clouds
307,Longyearbyen,SJ,78.22,15.64,41.0,65,40,16.11,scattered clouds
308,Chicama,PE,-7.84,-79.15,73.31,53,31,10.8,scattered clouds
309,Orlik,RU,52.52,99.83,47.21,85,100,4.99,moderate rain
310,Haicheng,CN,40.85,122.75,67.32,90,1,1.79,clear sky
311,Sorland,NO,67.67,12.69,49.12,73,92,10.45,light rain
312,Richards Bay,ZA,-28.78,32.04,68.36,77,90,12.06,overcast clouds
313,Nouadhibou,MR,20.93,-17.03,84.2,62,0,18.34,clear sky
314,Coquimbo,CL,-29.95,-71.34,60.8,48,42,12.75,scattered clouds
315,Sao Filipe,CV,14.9,-24.5,81.09,76,89,5.3,overcast clouds
316,Norman Wells,CA,65.28,-126.83,44.6,70,40,9.17,scattered clouds
317,Nyurba,RU,63.28,118.33,47.44,95,89,2.46,overcast clouds
318,Oistins,BB,13.07,-59.53,84.2,79,75,24.16,light intensity shower rain
319,Chunskiy,RU,56.08,99.63,53.44,94,100,2.21,overcast clouds
320,Andenes,NO,69.31,16.12,48.2,87,100,6.93,light rain
321,Manaus,BR,-3.1,-60.02,87.8,70,40,4.7,scattered clouds
322,Bathsheba,BB,13.22,-59.52,84.2,79,75,24.16,light intensity shower rain
323,Galesong,ID,-5.32,119.37,77.0,78,20,1.12,few clouds
324,Orange,US,33.7,-117.77,79.0,73,20,3.36,few clouds
325,Eastlake,US,41.65,-81.45,71.6,73,90,10.29,overcast clouds
326,Sao Felix Do Xingu,BR,-6.64,-51.99,103.87,17,46,3.96,scattered clouds
327,Uthal,PK,25.81,66.62,82.54,83,44,7.94,scattered clouds
328,Cap-Aux-Meules,CA,47.38,-61.86,62.6,63,75,9.17,broken clouds
329,Sabha,LY,27.04,14.43,94.68,15,0,9.71,clear sky
330,Loikaw,MM,19.67,97.21,68.54,93,97,2.46,overcast clouds
331,Hasaki,JP,35.73,140.83,78.8,94,40,4.7,scattered clouds
332,Payo,ID,-3.75,103.64,73.06,87,97,2.15,overcast clouds
333,Pangnirtung,CA,66.15,-65.71,53.6,62,20,11.41,few clouds
334,Andradas,BR,-22.07,-46.57,81.95,33,0,7.47,clear sky
335,Wismar,DE,53.9,11.47,64.99,75,23,6.4,few clouds
336,Tuy Hoa,VN,13.08,109.3,78.67,85,44,5.68,scattered clouds
337,Aniva,RU,46.71,142.53,50.0,87,100,6.71,overcast clouds
338,Poum,NC,-20.23,164.02,68.32,77,97,21.81,overcast clouds
339,Viedma,AR,-40.81,-63.0,48.0,32,0,8.01,clear sky
340,Ruhengeri,RW,-1.5,29.64,62.13,80,99,1.32,light rain
341,Saint-Francois,FR,46.42,3.91,69.8,46,14,13.87,few clouds
342,Airai,TL,-8.93,125.41,54.54,50,53,3.56,broken clouds
